ID,SKU,Type,Name,Published,Featured,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Categories,Tags,Images,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: _price_dealer,Meta: _price_distributor,Meta: _moq_carton,Meta: _pack_inner,Meta: _pack_master,Meta: _gst_rate,Meta: _hsn_code
,SIGMA-PLUS,simple,SIGMA Plus Tricycle,1,0,visible,Premium SIGMA series tricycle with canopy and parental push handle.,Luvron SIGMA Plus — premium kids tricycle with canopy and parental push handle. Master carton of 12 units.,taxable,GST 18,1,500,Tricycles > SIGMA series,sigma,https://luvron.in/wp-content/uploads/luvron-products/sigma-plus.jpg,,1760,,,,,,1760,1637,1,1x1,12,18,95030010
,SIGMA-BASE,simple,SIGMA Tricycle,1,0,visible,SIGMA series base model tricycle. Master carton of 12.,Luvron SIGMA — kids tricycle with parental push handle. Master carton of 12 units.,taxable,GST 5,1,500,Tricycles > SIGMA series,sigma,https://luvron.in/wp-content/uploads/luvron-products/sigma.jpg,,1700,,,,,,1700,1581,1,1x1,12,5,87120010
,SIGMA-R1-PLUS,simple,SIGMA R1 Plus Tricycle,1,0,visible,SIGMA R1 Plus variant with canopy. Master carton of 12.,Luvron SIGMA R1 Plus — kids tricycle with canopy. Master carton of 12 units.,taxable,GST 18,1,500,Tricycles > SIGMA series,sigma,https://luvron.in/wp-content/uploads/luvron-products/sigma-r1-plus.jpg,,1660,,,,,,1660,1544,1,1x1,12,18,95030010
,SIGMA-R1,simple,SIGMA R1 Tricycle,1,0,visible,SIGMA R1 base variant tricycle. Master carton of 12.,Luvron SIGMA R1 — kids tricycle. Master carton of 12 units.,taxable,GST 5,1,500,Tricycles > SIGMA series,sigma,https://luvron.in/wp-content/uploads/luvron-products/sigma-r1.jpg,,1600,,,,,,1600,1488,1,1x1,12,5,87120010
,AURA-PLUS,simple,AURA Plus Tricycle,1,0,visible,AURA Plus tricycle with canopy. Master carton of 12.,Luvron AURA Plus — kids tricycle with canopy. Master carton of 12 units.,taxable,GST 18,1,500,Tricycles > AURA series,aura,https://luvron.in/wp-content/uploads/luvron-products/aura-plus.jpg,,1670,,,,,,1670,1553,1,1x1,12,18,95030010
,AURA-BASE,simple,AURA Tricycle,1,0,visible,AURA base tricycle. Master carton of 12.,Luvron AURA — kids tricycle. Master carton of 12 units.,taxable,GST 5,1,500,Tricycles > AURA series,aura,https://luvron.in/wp-content/uploads/luvron-products/aura.jpg,,1610,,,,,,1610,1497,1,1x1,12,5,87120010
,AURA-R1-PLUS,simple,AURA R1 Plus Tricycle,1,0,visible,AURA R1 Plus with canopy. Master carton of 12.,Luvron AURA R1 Plus — kids tricycle with canopy. Master carton of 12 units.,taxable,GST 18,1,500,Tricycles > AURA series,aura,https://luvron.in/wp-content/uploads/luvron-products/aura-r1-plus.jpg,,1570,,,,,,1570,1460,1,1x1,12,18,95030010
,AURA-R1,simple,AURA R1 Tricycle,1,0,visible,AURA R1 base tricycle. Master carton of 12.,Luvron AURA R1 — kids tricycle. Master carton of 12 units.,taxable,GST 5,1,500,Tricycles > AURA series,aura,https://luvron.in/wp-content/uploads/luvron-products/aura-r1.jpg,,1510,,,,,,1510,1404,1,1x1,12,5,87120010
,EAGLE-PLUS,simple,EAGLE Plus Tricycle,1,0,visible,EAGLE Plus with canopy. Master carton of 12.,Luvron EAGLE Plus — kids tricycle with canopy. Master carton of 12 units.,taxable,GST 18,1,500,Tricycles > EAGLE series,eagle,https://luvron.in/wp-content/uploads/luvron-products/eagle-plus.jpg,,1535,,,,,,1535,1428,1,1x1,12,18,95030010
,EAGLE-BASE,simple,EAGLE Tricycle,1,0,visible,EAGLE base tricycle. Master carton of 12.,Luvron EAGLE — kids tricycle. Master carton of 12 units.,taxable,GST 5,1,500,Tricycles > EAGLE series,eagle,https://luvron.in/wp-content/uploads/luvron-products/eagle.jpg,,1475,,,,,,1475,1372,1,1x1,12,5,87120010
